"","V1","Accelerated","V1","Priority","V1","Breakthrough","V1","Orphan","V1","Fast track","V1","Standard","V1","Oncology","V1","non-Oncology"
"no_GE",30,2,5,27,16,16,9,23,17,15,27,5,28,4,4,28
"has_GE",119,63,16,166,95,87,53,129,79,103,166,16,89,93,93,89
