"","V1","Accelerated","V1","Priority","V1","Breakthrough","V1","Fast track","V1","Expedited","V1","Serious conditions"
"no_GE",63,2,37,28,49,16,50,15,32,33,27,38
"has_GE",208,63,106,165,184,87,168,103,90,181,70,201
