"","V1","Accelerated","V1","Priority","V1","Breakthrough","V1","Orphan","V1","Standard","V1","Fast track","V1","Expedited","V1","non-Expedited","V1","Oncology","V1","non-Oncology"
"no_GE",61,2,36,27,47,16,37,26,27,36,48,15,31,32,32,31,58,5,5,58
"has_GE",210,63,107,166,186,87,127,146,166,107,170,103,91,182,182,91,171,102,102,171
