"","V1","Accelerated","V1","Priority","V1","Breakthrough","V1","Orphan","V1","Standard","V1","Fast track","V1","Expedited","V1","non-Expedited"
"no_GE",58,0,35,23,46,12,37,21,23,35,44,14,30,28,28,30
"has_GE",159,12,91,80,140,31,101,70,80,91,114,57,82,89,89,82
