"","V1","Accelerated","V1","Priority","V1","Breakthrough","V1","Fast track","V1","Expedited","V1","Serious conditions"
"no_GE",61,2,36,27,47,16,48,15,31,32,26,37
"has_GE",210,63,107,166,186,87,170,103,91,182,71,202
