"table_data","estimate","lower","upper","midp_p_value","fisher_p_value","chi_square_p_value"
"Breakthrough",0.729516645978379,0.308716778397806,1.69957444250741,0.463785074731923,0.524921096322945,0.453999561996356
"Expedited",1.02636721729997,0.216191341031204,3.42011287827008,0.969529620307306,1,0.987678966986753
"Priority",1.46919610910649,0.487950656392107,3.89619028775619,0.471567830100671,0.57890505477362,0.466831328558894
"Fast track",1.8699149605424,0.799498845897536,4.57221377110522,0.149776303684543,0.200719971352176,0.141253705450697
"Accelerated",6.17621612266377,1.72438358049549,42.7998920971228,0.00287325621983747,0.00494597595895003,0.00470405126881804
