"table_data","estimate","lower","upper","midp_p_value","fisher_p_value","chi_square_p_value"
"Expedited programs",1.93337938586873,1.10626325287134,3.38010901971117,0.0207977823082848,0.0205203614770933,0.0181995876423802
"Serious conditions",1.99697858613819,1.11937598794972,3.53023474616481,0.0195497131918574,0.0204727784915399,0.015965751226905
