targetB,Brand_name
ENSG00000130779,Blenrep
ENSG00000133124,Blenrep
ENSG00000146648,Blenrep
ENSG00000179218,Blenrep
ENSG00000204843,Blenrep
ENSG00000065361,Farydak
ENSG00000073614,Farydak
ENSG00000083799,Farydak
ENSG00000091831,Farydak
ENSG00000100697,Farydak
ENSG00000108654,Farydak
ENSG00000109906,Farydak
ENSG00000110092,Farydak
ENSG00000111642,Farydak
ENSG00000113916,Farydak
ENSG00000121741,Farydak
ENSG00000135363,Farydak
ENSG00000139687,Farydak
ENSG00000141027,Farydak
ENSG00000141510,Farydak
ENSG00000141736,Farydak
ENSG00000146648,Farydak
ENSG00000147130,Farydak
ENSG00000148400,Farydak
ENSG00000168036,Farydak
ENSG00000179348,Farydak
ENSG00000181163,Farydak
ENSG00000196498,Farydak
ENSG00000198795,Farydak
ENSG00000204209,Farydak
ENSG00000204713,Farydak
ENSG00000204843,Farydak
ENSG00000141510,Xpovio
ENSG00000141736,Xpovio
ENSG00000120217,Jemperli
ENSG00000179295,Jemperli
ENSG00000197646,Jemperli
ENSG00000106462,Pomalyst
ENSG00000138081,Pomalyst
ENSG00000185811,Pomalyst
ENSG00000122025,Scemblix
ENSG00000149311,Scemblix
ENSG00000157404,Scemblix
ENSG00000091831,Trodelvy
ENSG00000097007,Trodelvy
ENSG00000122566,Trodelvy
ENSG00000136997,Trodelvy
ENSG00000147140,Trodelvy
ENSG00000181163,Trodelvy
ENSG00000113721,Lartruvo
ENSG00000124181,Lartruvo
ENSG00000146648,Lartruvo
ENSG00000106462,Inqovi
ENSG00000119772,Inqovi
ENSG00000163041,Inqovi
ENSG00000037280,Cyramza
ENSG00000111679,Cyramza
ENSG00000128052,Cyramza
ENSG00000197122,Cyramza
ENSG00000029363,Venclexta
ENSG00000087088,Venclexta
ENSG00000100030,Venclexta
ENSG00000141510,Venclexta
ENSG00000171791,Venclexta
ENSG00000198625,Venclexta
ENSG00000096384,Cosela
ENSG00000106462,Cosela
ENSG00000110092,Cosela
ENSG00000111087,Cosela
ENSG00000111276,Cosela
ENSG00000112576,Cosela
ENSG00000118689,Cosela
ENSG00000118971,Cosela
ENSG00000119866,Cosela
ENSG00000123080,Cosela
ENSG00000124762,Cosela
ENSG00000136754,Cosela
ENSG00000136997,Cosela
ENSG00000137497,Cosela
ENSG00000139687,Cosela
ENSG00000140464,Cosela
ENSG00000143379,Cosela
ENSG00000147130,Cosela
ENSG00000147889,Cosela
ENSG00000148516,Cosela
ENSG00000159216,Cosela
ENSG00000161405,Cosela
ENSG00000161547,Cosela
ENSG00000171843,Cosela
ENSG00000096968,Vonjo
ENSG00000097007,Vonjo
ENSG00000117400,Vonjo
ENSG00000122025,Vonjo
ENSG00000179295,Vonjo
ENSG00000096968,Inrebic
ENSG00000097007,Inrebic
ENSG00000117400,Inrebic
ENSG00000122025,Inrebic
ENSG00000179295,Inrebic
ENSG00000065361,Tukysa
ENSG00000072274,Tukysa
ENSG00000080824,Tukysa
ENSG00000081237,Tukysa
ENSG00000082898,Tukysa
ENSG00000085832,Tukysa
ENSG00000096384,Tukysa
ENSG00000097007,Tukysa
ENSG00000101213,Tukysa
ENSG00000111252,Tukysa
ENSG00000113263,Tukysa
ENSG00000123983,Tukysa
ENSG00000124181,Tukysa
ENSG00000127329,Tukysa
ENSG00000135605,Tukysa
ENSG00000141736,Tukysa
ENSG00000141968,Tukysa
ENSG00000143322,Tukysa
ENSG00000145675,Tukysa
ENSG00000146648,Tukysa
ENSG00000152894,Tukysa
ENSG00000153201,Tukysa
ENSG00000157168,Tukysa
ENSG00000162434,Tukysa
ENSG00000163399,Tukysa
ENSG00000165025,Tukysa
ENSG00000168610,Tukysa
ENSG00000178568,Tukysa
ENSG00000179295,Tukysa
ENSG00000197122,Tukysa
ENSG00000065361,Margenza
ENSG00000072274,Margenza
ENSG00000080824,Margenza
ENSG00000081237,Margenza
ENSG00000082898,Margenza
ENSG00000085832,Margenza
ENSG00000096384,Margenza
ENSG00000097007,Margenza
ENSG00000101213,Margenza
ENSG00000111252,Margenza
ENSG00000113263,Margenza
ENSG00000123983,Margenza
ENSG00000124181,Margenza
ENSG00000127329,Margenza
ENSG00000135605,Margenza
ENSG00000141736,Margenza
ENSG00000141968,Margenza
ENSG00000143322,Margenza
