"datasourceId","DrugId","phenotypeAssociation"
"europepmc","CHEMBL2146883",TRUE
"europepmc","CHEMBL4297990",TRUE
"europepmc","CHEMBL4298128",TRUE
"chembl","CHEMBL3545313",TRUE
"eva","CHEMBL2108278",TRUE
"eva","CHEMBL607400",TRUE
"cancer_gene_census","CHEMBL2103875",TRUE
"chembl","CHEMBL715",TRUE
"europepmc","CHEMBL3039537",TRUE
"europepmc","CHEMBL3137343",TRUE
"europepmc","CHEMBL3187723",TRUE
"europepmc","CHEMBL3306803",TRUE
"europepmc","CHEMBL3218576",TRUE
"chembl","CHEMBL3137343",TRUE
"europepmc","CHEMBL2010601",TRUE
"eva_somatic","CHEMBL2103875",TRUE
"europepmc","CHEMBL4298062",TRUE
"slapenrich","CHEMBL2103875",TRUE
"cancer_gene_census","CHEMBL3948730",TRUE
"europepmc","CHEMBL2028663",TRUE
"impc","CHEMBL4297788",TRUE
"europepmc","CHEMBL3545313",TRUE
"europepmc","CHEMBL278623",TRUE
"eva","CHEMBL4297566",TRUE
"cancer_gene_census","CHEMBL2028663",TRUE
"impc","CHEMBL2010601",TRUE
"europepmc","CHEMBL2105760",TRUE
"impc","CHEMBL3039502",TRUE
"chembl","CHEMBL4297788",TRUE
"ot_genetics_portal","CHEMBL1743041",TRUE
"europepmc","CHEMBL3990044",TRUE
"impc","CHEMBL3544914",TRUE
"europepmc","CHEMBL4297517",TRUE
"europepmc","CHEMBL4297566",TRUE
"ot_genetics_portal","CHEMBL607400",TRUE
"chembl","CHEMBL3948730",TRUE
"europepmc","CHEMBL715",TRUE
"intogen","CHEMBL2028663",TRUE
"chembl","CHEMBL2105760",TRUE
"cancer_biomarkers","CHEMBL2103875",TRUE
"eva_somatic","CHEMBL2028663",TRUE
"slapenrich","CHEMBL2028663",TRUE
"europepmc","CHEMBL4297750",TRUE
"europepmc","CHEMBL2028019",TRUE
"chembl","CHEMBL3039502",TRUE
"impc","CHEMBL607400",TRUE
"chembl","CHEMBL3306803",TRUE
"europepmc","CHEMBL2219425",TRUE
"chembl","CHEMBL3707290",TRUE
"europepmc","CHEMBL4297762",TRUE
"impc","CHEMBL3218576",TRUE
"europepmc","CHEMBL2108738",TRUE
"europepmc","CHEMBL2103875",TRUE
"europepmc","CHEMBL607400",TRUE
"eva","CHEMBL2028663",TRUE
"genomics_england","CHEMBL3039537",TRUE
"chembl","CHEMBL2028019",TRUE
"chembl","CHEMBL2219425",TRUE
"chembl","CHEMBL2028663",TRUE
"eva","CHEMBL3544921",TRUE
"eva","CHEMBL4298062",TRUE
"genomics_england","CHEMBL3707290",TRUE
"impc","CHEMBL3948730",TRUE
"eva","CHEMBL4297762",TRUE
"europepmc","CHEMBL3039502",TRUE
"expression_atlas","CHEMBL2135460",TRUE
"chembl","CHEMBL2108738",TRUE
"europepmc","CHEMBL3544921",TRUE
"europepmc","CHEMBL4297788",TRUE
"europepmc","CHEMBL2103870",TRUE
"chembl","CHEMBL607400",TRUE
"eva","CHEMBL110458",TRUE
"eva_somatic","CHEMBL4208229",TRUE
"cancer_biomarkers","CHEMBL608533",TRUE
"chembl","CHEMBL2107333",TRUE
"eva_somatic","CHEMBL608533",TRUE
"cancer_biomarkers","CHEMBL4208229",TRUE
"chembl","CHEMBL2336071",TRUE
"ot_genetics_portal","CHEMBL363392",TRUE
"chembl","CHEMBL4208229",TRUE
"chembl","CHEMBL2108677",TRUE
"cancer_gene_census","CHEMBL608533",TRUE
"gene_burden","CHEMBL3707229",TRUE
"europepmc","CHEMBL608533",TRUE
"intogen","CHEMBL3701238",TRUE
"europepmc","CHEMBL2108677",TRUE
"ot_genetics_portal","CHEMBL3707229",TRUE
"europepmc","CHEMBL2107333",TRUE
"chembl","CHEMBL4066936",TRUE
"eva","CHEMBL4297517",TRUE
"ot_genetics_portal","CHEMBL2107333",TRUE
"slapenrich","CHEMBL608533",TRUE
"europepmc","CHEMBL1743007",TRUE
"uniprot_literature","CHEMBL608533",TRUE
"impc","CHEMBL608533",TRUE
"genomics_england","CHEMBL4208229",TRUE
"europepmc","CHEMBL3545131",TRUE
"europepmc","CHEMBL2108354",TRUE
"europepmc","CHEMBL4101807",TRUE
"expression_atlas","CHEMBL608533",TRUE
"eva","CHEMBL608533",TRUE
"chembl","CHEMBL2108354",TRUE
"europepmc","CHEMBL2364639",TRUE
"europepmc","CHEMBL4208229",TRUE
"cancer_gene_census","CHEMBL4208229",TRUE
"europepmc","CHEMBL2336071",TRUE
"cancer_biomarkers","CHEMBL3701238",TRUE
"europepmc","CHEMBL3701238",TRUE
"chembl","CHEMBL608533",TRUE
"eva","CHEMBL4208229",TRUE
"chembl","CHEMBL3701238",TRUE
"intogen","CHEMBL608533",TRUE
"ot_genetics_portal","CHEMBL4297588",TRUE
"ot_genetics_portal","CHEMBL189963",TRUE
"europepmc","CHEMBL3545110",TRUE
"chembl","CHEMBL4297526",TRUE
"ot_genetics_portal","CHEMBL4297526",TRUE
"europepmc","CHEMBL3301610",TRUE
"chembl","CHEMBL3137320",TRUE
"expression_atlas","CHEMBL189963",TRUE
"cancer_gene_census","CHEMBL3301610",TRUE
"slapenrich","CHEMBL3301610",TRUE
"slapenrich","CHEMBL189963",TRUE
"crispr","CHEMBL3545110",TRUE
"slapenrich","CHEMBL3137320",TRUE
"chembl","CHEMBL3545110",TRUE
"crispr","CHEMBL189963",TRUE
"slapenrich","CHEMBL3545110",TRUE
"europepmc","CHEMBL189963",TRUE
"europepmc","CHEMBL4297526",TRUE
"crispr","CHEMBL3301610",TRUE
"cancer_gene_census","CHEMBL189963",TRUE
"cancer_gene_census","CHEMBL3545110",TRUE
"europepmc","CHEMBL3137320",TRUE
"chembl","CHEMBL3301610",TRUE
"expression_atlas","CHEMBL3545110",TRUE
"expression_atlas","CHEMBL3301610",TRUE
"chembl","CHEMBL189963",TRUE
"europepmc","CHEMBL4297832",TRUE
"eva","CHEMBL2107831",TRUE
"genomics_england","CHEMBL2048484",TRUE
"eva_somatic","CHEMBL483254",TRUE
"chembl","CHEMBL1770248",TRUE
"impc","CHEMBL376359",TRUE
"gene_burden","CHEMBL4594217",TRUE
"genomics_england","CHEMBL1770248",TRUE
"chembl","CHEMBL2364653",TRUE
"europepmc","CHEMBL2103883",TRUE
"eva","CHEMBL1770248",TRUE
"eva","CHEMBL2048484",TRUE
"europepmc","CHEMBL4594217",TRUE
"europepmc","CHEMBL1743010",TRUE
"europepmc","CHEMBL2048484",TRUE
"europepmc","CHEMBL43452",TRUE
"chembl","CHEMBL4298209",TRUE
"eva_somatic","CHEMBL43452",TRUE
"chembl","CHEMBL3545131",TRUE
"impc","CHEMBL2048484",TRUE
"chembl","CHEMBL4297839",TRUE
"chembl","CHEMBL4297819",TRUE
"chembl","CHEMBL3545185",TRUE
"europepmc","CHEMBL3990026",TRUE
"eva","CHEMBL4594217",TRUE
"gene_burden","CHEMBL429910",TRUE
"impc","CHEMBL3545131",TRUE
"uniprot_variants","CHEMBL1770248",TRUE
"genomics_england","CHEMBL2107830",TRUE
"europepmc","CHEMBL2107830",TRUE
"genomics_england","CHEMBL4594217",TRUE
"impc","CHEMBL2103883",TRUE
"chembl","CHEMBL429910",TRUE
"gene_burden","CHEMBL3545185",TRUE
"europepmc","CHEMBL512351",TRUE
"ot_genetics_portal","CHEMBL441738",TRUE
"slapenrich","CHEMBL2141296",TRUE
"chembl","CHEMBL4594217",TRUE
"chembl","CHEMBL2107831",TRUE
"chembl","CHEMBL3622821",TRUE
"crispr","CHEMBL3545185",TRUE
"europepmc","CHEMBL376359",TRUE
"eva","CHEMBL3833393",TRUE
"chembl","CHEMBL2107841",TRUE
"eva_somatic","CHEMBL3545185",TRUE
"uniprot_variants","CHEMBL429910",TRUE
"europepmc","CHEMBL4298209",TRUE
