"table_data","estimate","lower","upper","midp_p_value","fisher_p_value","chi_square_p_value"
"Priority",2.2031306082434,1.25473928977813,3.93005345971247,0.00586405185118322,0.00653329548619922,0.00525096667086607
"Breakthrough",1.65909328951322,0.876388255659169,3.3453658357746,0.122872928681816,0.163772958146255,0.123669635856682
"Orphan",1.79696972972564,1.02253269892652,3.2163346502766,0.04154251483157,0.0474412728470984,0.0400723604050579
"Standard",0.453923239786956,0.2544494649376,0.796978311069568,0.0058640518511831,0.00653329548619922,0.00525096667086605
